,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
76,"Don't Start Now","Dua Lipa",1114143,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
77,"Your Heart","Joyner Lucas",1098851,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
78,"Pareja Del Año","Sebastian Yatra",1085132,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
79,"edamame (feat. Rich Brian)",bbno$,1083874,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
80,Miénteme,TINI,1061713,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
81,LOCO,ITZY,1060412,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
82,"favorite crime","Olivia Rodrigo",1059354,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
83,"jealousy, jealousy","Olivia Rodrigo",1058006,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
84,"Tiroteo - Remix","Marc Seguí",1057510,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
85,"lovely (with Khalid)","Billie Eilish",1054319,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
86,"Astronaut In The Ocean","Masked Wolf",1051719,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
87,"Have Mercy",Chlöe,1048942,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
88,"The Business",Tiësto,1032145,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
89,"Love Again","Dua Lipa",1030450,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
90,"Ain't Shit","Doja Cat",1028914,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
91,Perfect,"Ed Sheeran",1018415,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
92,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",1016991,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
93,"Champagne Poetry",Drake,1014253,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
94,"Chosen (feat. Ty Dolla $ign)",Blxst,1008755,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
95,Moon,"Kanye West",1001733,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
96,"Happier Than Ever - Edit","Billie Eilish",994868,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
97,"Save Your Tears","The Weeknd",994286,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
98,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,990590,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
99,"Before You Go","Lewis Capaldi",981426,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
100,"911 - Remix",Sech,971474,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
101,SEJODIOTO,"KAROL G",968004,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
102,Circles,"Post Malone",967592,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
103,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,957244,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
104,"double take",dhruv,954361,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
105,positions,"Ariana Grande",952012,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
106,Believer,"Imagine Dragons",950402,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
107,A-O-K,"Tai Verdes",938578,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
108,Loco,"Justin Quiles",936050,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
109,RAPSTAR,"Polo G",933317,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
110,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,930017,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
111,"SCOOP (feat. Doja Cat)","Lil Nas X",927269,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ
112,Yellow,Coldplay,924673,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
113,"Heartbreak Anniversary",Giveon,916265,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
114,"Off The Grid","Kanye West",912432,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
115,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",904384,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
116,"Smells Like Teen Spirit",Nirvana,904026,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
117,Heather,"Conan Gray",894674,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
118,Arcade,"Duncan Laurence",894390,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
119,telepatía,"Kali Uchis",893318,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
120,"Dance Monkey","Tones And I",889168,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
121,"Shape of You","Ed Sheeran",882040,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
122,"Daddy Issues","The Neighbourhood",874186,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
123,"you broke me first","Tate McRae",868909,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
124,"Too Easy",Gunna,853175,https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY
125,Levitating,"Dua Lipa",839005,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
126,"You Right","Doja Cat",834602,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
127,Dandelions,"Ruth B.",833269,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
128,"Jugaste y Sufrí","Eslabon Armado",829205,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
129,"A La Antigüita","Calibre 50",825536,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
130,"WITHOUT YOU","The Kid LAROI",824741,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
131,"Poblado - Remix","J Balvin",822766,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
132,"Say You Won't Let Go","James Arthur",820137,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
133,"Talking to the Moon","Bruno Mars",816302,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
134,"Another Love","Tom Odell",815789,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
135,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi",815740,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY
136,"Arranhão - Ao Vivo","Henrique & Juliano",807065,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
137,"Bala Love","Mc Anjim",807032,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
138,"Counting Stars",OneRepublic,806932,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
139,Señorita,"Shawn Mendes",805461,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
140,"Bohemian Rhapsody - Remastered 2011",Queen,804495,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
141,brutal,"Olivia Rodrigo",803329,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
142,"No Role Modelz","J. Cole",798452,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
143,"The Real Slim Shady",Eminem,798417,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
144,"The Nights",Avicii,796241,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
145,"She Knows (feat. Amber Coffman & Cults)","J. Cole",795910,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
146,"Take Me To Church",Hozier,793572,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
147,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",793434,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
148,Memories,"Maroon 5",792149,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
149,"Gangsta's Paradise",Coolio,792033,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
150,"Mon Amour - Remix",zzoilo,791405,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
151,goosebumps,"Travis Scott",783878,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
152,"Head & Heart (feat. MNEK)","Joel Corry",782414,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
153,"No Friends In The Industry",Drake,781186,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
154,"Here's Your Perfect","Jamie Miller",778222,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
155,Shallow,"Lady Gaga",777651,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
